ADX_14:, dtype: float64, NaNs: 27
DMP_14:, dtype: float64, NaNs: 14
DMN_14:, dtype: float64, NaNs: 14
ALMA_10_6.0_0.85:, dtype: float64, NaNs: 10
AMATe_LR_2:, dtype: int32, NaNs: 0
AMATe_SR_2:, dtype: int32, NaNs: 0
AO_5_34:, dtype: float64, NaNs: 33
OBV:, dtype: float64, NaNs: 0
OBV_min_2:, dtype: float64, NaNs: 1
OBV_max_2:, dtype: float64, NaNs: 1
OBVe_4:, dtype: float64, NaNs: 3
OBVe_12:, dtype: float64, NaNs: 11
AOBV_LR_2:, dtype: int32, NaNs: 0
AOBV_SR_2:, dtype: int32, NaNs: 0
APO_12_26:, dtype: float64, NaNs: 25
AROOND_14:, dtype: float64, NaNs: 14
AROONU_14:, dtype: float64, NaNs: 14
AROONOSC_14:, dtype: float64, NaNs: 14
ATRr_14:, dtype: float64, NaNs: 13
BBL_5_2.0:, dtype: float64, NaNs: 4
BBM_5_2.0:, dtype: float64, NaNs: 4
BBU_5_2.0:, dtype: float64, NaNs: 4
BBB_5_2.0:, dtype: float64, NaNs: 4
BIAS_SMA_26:, dtype: float64, NaNs: 25
BOP:, dtype: float64, NaNs: 0
AR_26:, dtype: float64, NaNs: 25
BR_26:, dtype: float64, NaNs: 26
CCI_14_0.015:, dtype: float64, NaNs: 13
CDL_DOJI_10_0.1:, dtype: int32, NaNs: 0
CDL_INSIDE:, dtype: int32, NaNs: 0
CFO_9:, dtype: float64, NaNs: 8
CG_10:, dtype: float64, NaNs: 9
CHOP_14_1_100:, dtype: float64, NaNs: 13
CKSPl_10_1_9:, dtype: float64, NaNs: 17
CKSPs_10_1_9:, dtype: float64, NaNs: 17
CMF_20:, dtype: float64, NaNs: 19
INC_1:, dtype: int32, NaNs: 0
INERTIA_20_14:, dtype: float64, NaNs: 32
KAMA_10_2_30:, dtype: float64, NaNs: 9
KCLe_20_2:, dtype: float64, NaNs: 19
KCBe_20_2:, dtype: float64, NaNs: 19
KCUe_20_2:, dtype: float64, NaNs: 19
K_9_3:, dtype: float64, NaNs: 10
D_9_3:, dtype: float64, NaNs: 12
J_9_3:, dtype: float64, NaNs: 12
KST_10_15_20_30_10_10_10_15:, dtype: float64, NaNs: 44
KSTs_9:, dtype: float64, NaNs: 52
KURT_30:, dtype: float64, NaNs: 29
LR_14:, dtype: float64, NaNs: 13
LOGRET_1:, dtype: float64, NaNs: 1
MACD_12_26_9:, dtype: float64, NaNs: 25
MACDh_12_26_9:, dtype: float64, NaNs: 33
MACDs_12_26_9:, dtype: float64, NaNs: 33
MAD_30:, dtype: float64, NaNs: 29
MASSI_9_25:, dtype: float64, NaNs: 32
MCGD_10:, dtype: float64, NaNs: 0
MEDIAN_30:, dtype: float64, NaNs: 29
MFI_14:, dtype: float64, NaNs: 13
MIDPOINT_2:, dtype: float64, NaNs: 1
MIDPRICE_2:, dtype: float64, NaNs: 1
MOM_10:, dtype: float64, NaNs: 10
NATR_14:, dtype: float64, NaNs: 13
NVI_1:, dtype: float64, NaNs: 0
OHLC4:, dtype: float64, NaNs: 0
PDIST:, dtype: float64, NaNs: 1
PCTRET_1:, dtype: float64, NaNs: 1
